country_code,Year,Total_AI_Investment_USD(MM),GDP_USD(MM),AI_Adoption_Rate,Company,AI_Investment_USD(MM),Return_from_AI_USD(MM),Industry_Code
DEU,2023,8203,4456434,0.44,Mercedes-Benz,490,637,AUTO
DEU,2023,8203,4456434,0.44,Deutsche Telekom,460,552,TELE
DEU,2023,8203,4456434,0.44,Allianz,430,516,FIN
DEU,2023,8203,4456434,0.44,BASF,410,492,CHEM
DEU,2024,10254,4701453,0.48,SAP,880,1232,TECH
DEU,2024,10254,4701453,0.48,Siemens,830,1162,MFG
DEU,2024,10254,4701453,0.48,BMW,790,1027,AUTO
DEU,2024,10254,4701453,0.48,Deutsche Bank,740,962,FIN
DEU,2024,10254,4701453,0.48,Bayer,690,828,PHARM
DEU,2024,10254,4701453,0.48,Volkswagen,650,845,AUTO
DEU,2024,10254,4701453,0.48,Mercedes-Benz,610,793,AUTO
DEU,2024,10254,4701453,0.48,Deutsche Telekom,570,684,TELE
DEU,2024,10254,4701453,0.48,Allianz,530,636,FIN
DEU,2024,10254,4701453,0.48,BASF,510,612,CHEM
JPN,2020,3800,5064873,0.28,Toyota,450,585,AUTO
JPN,2020,3800,5064873,0.28,Sony,420,546,TECH
JPN,2020,3800,5064873,0.28,Softbank,390,507,FIN
JPN,2020,3800,5064873,0.28,Mitsubishi,360,468,CONG
JPN,2020,3800,5064873,0.28,Panasonic,330,429,ELEC
JPN,2020,3800,5064873,0.28,Honda,300,390,AUTO
JPN,2020,3800,5064873,0.28,Hitachi,280,364,TECH
JPN,2020,3800,5064873,0.28,Nissan,260,338,AUTO
JPN,2020,3800,5064873,0.28,NTT,240,312,TELE
JPN,2020,3800,5064873,0.28,MUFG,220,286,FIN
JPN,2021,4750,5090681,0.32,Toyota,560,728,AUTO
JPN,2021,4750,5090681,0.32,Sony,530,689,TECH
JPN,2021,4750,5090681,0.32,Softbank,490,637,FIN
JPN,2021,4750,5090681,0.32,Mitsubishi,450,585,CONG
JPN,2021,4750,5090681,0.32,Panasonic,410,533,ELEC
JPN,2021,4750,5090681,0.32,Honda,380,494,AUTO
JPN,2021,4750,5090681,0.32,Hitachi,350,455,TECH
JPN,2021,4750,5090681,0.32,Nissan,320,416,AUTO
JPN,2021,4750,5090681,0.32,NTT,300,390,TELE
JPN,2021,4750,5090681,0.32,MUFG,280,364,FIN
JPN,2022,5938,4231141,0.36,Toyota,700,910,AUTO
JPN,2022,5938,4231141,0.36,Sony,660,858,TECH
JPN,2022,5938,4231141,0.36,Softbank,610,793,FIN
JPN,2022,5938,4231141,0.36,Mitsubishi,570,741,CONG
JPN,2022,5938,4231141,0.36,Panasonic,520,676,ELEC
JPN,2022,5938,4231141,0.36,Honda,480,624,AUTO
JPN,2022,5938,4231141,0.36,Hitachi,440,572,TECH
JPN,2022,5938,4231141,0.36,Nissan,410,533,AUTO
JPN,2022,5938,4231141,0.36,NTT,380,494,TELE
JPN,2022,5938,4231141,0.36,MUFG,350,455,FIN
JPN,2023,7422,4404700,0.40,Toyota,880,1144,AUTO
JPN,2023,7422,4404700,0.40,Sony,830,1079,TECH
JPN,2023,7422,4404700,0.40,Softbank,770,1001,FIN
JPN,2023,7422,4404700,0.40,Mitsubishi,710,923,CONG
JPN,2023,7422,4404700,0.40,Panasonic,650,845,ELEC
JPN,2023,7422,4404700,0.40,Honda,600,780,AUTO
JPN,2023,7422,4404700,0.40,Hitachi,550,715,TECH
JPN,2023,7422,4404700,0.40,Nissan,510,663,AUTO
JPN,2023,7422,4404700,0.40,NTT,470,611,TELE
JPN,2023,7422,4404700,0.40,MUFG,430,559,FIN
JPN,2024,9277,4624935,0.44,Toyota,1100,1430,AUTO
JPN,2024,9277,4624935,0.44,Sony,1040,1352,TECH
JPN,2024,9277,4624935,0.44,Softbank,960,1248,FIN
JPN,2024,9277,4624935,0.44,Mitsubishi,890,1157,CONG
JPN,2024,9277,4624935,0.44,Panasonic,810,1053,ELEC
JPN,2024,9277,4624935,0.44,Honda,750,975,AUTO
JPN,2024,9277,4624935,0.44,Hitachi,690,897,TECH
JPN,2024,9277,4624935,0.44,Nissan,640,832,AUTO
JPN,2024,9277,4624935,0.44,NTT,590,767,TELE
JPN,2024,9277,4624935,0.44,MUFG,540,702,FIN
FRA,2020,2900,2630318,0.30,Total,240,288,ENER
FRA,2020,2900,2630318,0.30,L'Oreal,220,308,CONS
FRA,2020,2900,2630318,0.30,BNP Paribas,200,240,FIN
FRA,2020,2900,2630318,0.30,Airbus,180,225,AERO
FRA,2020,2900,2630318,0.30,Sanofi,160,192,PHARM
FRA,2020,2900,2630318,0.30,AXA,140,168,FIN
FRA,2020,2900,2630318,0.30,LVMH,120,156,CONS
FRA,2020,2900,2630318,0.30,Orange,100,120,TELE
FRA,2020,2900,2630318,0.30,Danone,90,108,FOOD
FRA,2020,2900,2630318,0.30,Renault,80,96,AUTO
FRA,2021,3625,2957881,0.34,Total,300,360,ENER
FRA,2021,3625,2957881,0.34,L'Oreal,280,392,CONS
FRA,2021,3625,2957881,0.34,BNP Paribas,260,312,FIN
FRA,2021,3625,2957881,0.34,Airbus,240,300,AERO
FRA,2021,3625,2957881,0.34,Sanofi,220,264,PHARM
FRA,2021,3625,2957881,0.34,AXA,200,240,FIN
FRA,2021,3625,2957881,0.34,LVMH,180,234,CONS
FRA,2021,3625,2957881,0.34,Orange,160,192,TELE
FRA,2021,3625,2957881,0.34,Danone,140,168,FOOD
FRA,2021,3625,2957881,0.34,Renault,120,144,AUTO
FRA,2022,4531,2778090,0.38,TotalEnergies,380,456,ENER
FRA,2022,4531,2778090,0.38,L'Oreal,350,490,CONS
FRA,2022,4531,2778090,0.38,BNP Paribas,320,384,FIN
FRA,2022,4531,2778090,0.38,Airbus,290,363,AERO
FRA,2022,4531,2778090,0.38,Sanofi,270,324,PHARM
FRA,2022,4531,2778090,0.38,AXA,250,300,FIN
FRA,2022,4531,2778090,0.38,LVMH,230,299,CONS
FRA,2022,4531,2778090,0.38,Orange,210,252,TELE
FRA,2022,4531,2778090,0.38,Danone,190,228,FOOD
FRA,2022,4531,2778090,0.38,Renault,170,204,AUTO
FRA,2023,5664,3046428,0.42,TotalEnergies,470,564,ENER
FRA,2023,5664,3046428,0.42,L'Oreal,440,616,CONS
FRA,2023,5664,3046428,0.42,BNP Paribas,410,492,FIN
FRA,2023,5664,3046428,0.42,Airbus,380,475,AERO
FRA,2023,5664,3046428,0.42,Sanofi,350,420,PHARM
FRA,2023,5664,3046428,0.42,AXA,320,384,FIN
FRA,2023,5664,3046428,0.42,LVMH,290,377,CONS
FRA,2023,5664,3046428,0.42,Orange,260,312,TELE
FRA,2023,5664,3046428,0.42,Danone,240,288,FOOD
FRA,2023,5664,3046428,0.42,Renault,220,264,AUTO
FRA,2024,7080,3198749,0.46,TotalEnergies,590,708,ENER
FRA,2024,7080,3198749,0.46,L'Oreal,550,770,CONS
FRA,2024,7080,3198749,0.46,BNP Paribas,510,612,FIN
FRA,2024,7080,3198749,0.46,Airbus,470,588,AERO
FRA,2024,7080,3198749,0.46,Sanofi,440,528,PHARM
FRA,2024,7080,3198749,0.46,AXA,410,492,FIN
FRA,2024,7080,3198749,0.46,LVMH,380,494,CONS
FRA,2024,7080,3198749,0.46,Orange,350,420,TELE
FRA,2024,7080,3198749,0.46,Danone,320,384,FOOD
FRA,2024,7080,3198749,0.46,Renault,290,348,AUTO
GBR,2020,3100,2759804,0.33,HSBC,220,286,FIN
GBR,2020,3100,2759804,0.33,BP,160,192,ENER
GBR,2020,3100,2759804,0.33,Unilever,130,156,CONS
GBR,2020,3100,2759804,0.33,GSK,240,312,PHARM
GBR,2020,3100,2759804,0.33,Rolls-Royce,190,219,AERO
GBR,2020,3100,2759804,0.33,BT Group,150,180,TELE
GBR,2020,3100,2759804,0.33,AstraZeneca,210,273,PHARM
GBR,2020,3100,2759804,0.33,BAE Systems,170,204,AERO
GBR,2020,3100,2759804,0.33,Barclays,195,235,FIN
GBR,2020,3100,2759804,0.33,Vodafone,135,162,TELE
GBR,2021,3875,3131449,0.37,HSBC,275,358,FIN
GBR,2021,3875,3131449,0.37,BP,200,240,ENER
GBR,2021,3875,3131449,0.37,Unilever,163,196,CONS
GBR,2021,3875,3131449,0.37,GSK,300,390,PHARM
GBR,2021,3875,3131449,0.37,Rolls-Royce,238,274,AERO
GBR,2021,3875,3131449,0.37,BT Group,188,226,TELE
GBR,2021,3875,3131449,0.37,AstraZeneca,263,342,PHARM
GBR,2021,3875,3131449,0.37,BAE Systems,213,256,AERO
GBR,2021,3875,3131449,0.37,Barclays,244,293,FIN
GBR,2021,3875,3131449,0.37,Vodafone,169,203,TELE
GBR,2022,4844,3070667,0.41,HSBC,344,447,FIN
GBR,2022,4844,3070667,0.41,BP,250,300,ENER
GBR,2022,4844,3070667,0.41,Unilever,203,244,CONS
GBR,2022,4844,3070667,0.41,GSK,375,488,PHARM
GBR,2022,4844,3070667,0.41,Rolls-Royce,297,342,AERO
GBR,2022,4844,3070667,0.41,BT Group,235,282,TELE
GBR,2022,4844,3070667,0.41,AstraZeneca,328,427,PHARM
GBR,2022,4844,3070667,0.41,BAE Systems,266,319,AERO
GBR,2022,4844,3070667,0.41,Barclays,305,366,FIN
GBR,2022,4844,3070667,0.41,Vodafone,211,253,TELE
GBR,2023,6055,3358036,0.45,HSBC,430,559,FIN
GBR,2023,6055,3358036,0.45,BP,313,376,ENER
GBR,2023,6055,3358036,0.45,Unilever,254,305,CONS
GBR,2023,6055,3358036,0.45,GSK,469,610,PHARM
GBR,2023,6055,3358036,0.45,Rolls-Royce,371,427,AERO
GBR,2023,6055,3358036,0.45,BT Group,294,353,TELE
GBR,2023,6055,3358036,0.45,AstraZeneca,410,533,PHARM
GBR,2023,6055,3358036,0.45,BAE Systems,333,400,AERO
GBR,2023,6055,3358036,0.45,Barclays,381,457,FIN
GBR,2023,6055,3358036,0.45,Vodafone,264,317,TELE
GBR,2024,7568,3525938,0.49,HSBC,538,699,FIN
GBR,2024,7568,3525938,0.49,BP,391,469,ENER
GBR,2024,7568,3525938,0.49,Unilever,318,382,CONS
GBR,2024,7568,3525938,0.49,GSK,586,762,PHARM
GBR,2024,7568,3525938,0.49,Rolls-Royce,464,534,AERO
GBR,2024,7568,3525938,0.49,BT Group,368,442,TELE
GBR,2024,7568,3525938,0.49,AstraZeneca,513,667,PHARM
GBR,2024,7568,3525938,0.49,BAE Systems,416,499,AERO
GBR,2024,7568,3525938,0.49,Barclays,476,571,FIN
GBR,2024,7568,3525938,0.49,Vodafone,330,396,TELE
IND,2020,1200,2667687,0.21,Tata Consultancy,110,138,TECH
IND,2020,1200,2667687,0.21,Reliance Industries,150,180,CONG
IND,2020,1200,2667687,0.21,Infosys,90,108,TECH
IND,2020,1200,2667687,0.21,HDFC Bank,70,81,FIN
IND,2020,1200,2667687,0.21,Bharti Airtel,60,72,TELE
IND,2020,1200,2667687,0.21,Wipro,85,102,TECH
IND,2020,1200,2667687,0.21,HCL Technologies,75,90,TECH
IND,2020,1200,2667687,0.21,State Bank of India,55,66,FIN
IND,2020,1200,2667687,0.21,Mahindra & Mahindra,45,54,AUTO
IND,2020,1200,2667687,0.21,ICICI Bank,60,72,FIN
IND,2021,1500,3115172,0.24,Tata Consultancy,138,173,TECH
IND,2021,1500,3115172,0.24,Reliance Industries,188,226,CONG
IND,2021,1500,3115172,0.24,Infosys,113,136,TECH
IND,2021,1500,3115172,0.24,HDFC Bank,88,101,FIN
IND,2021,1500,3115172,0.24,Bharti Airtel,75,90,TELE
IND,2021,1500,3115172,0.24,Wipro,106,127,TECH
IND,2021,1500,3115172,0.24,HCL Technologies,94,113,TECH
IND,2021,1500,3115172,0.24,State Bank of India,69,83,FIN
IND,2021,1500,3115172,0.24,Mahindra & Mahindra,56,67,AUTO
IND,2021,1500,3115172,0.24,ICICI Bank,75,90,FIN
IND,2022,1875,3385089,0.27,Tata Consultancy,173,216,TECH
IND,2022,1875,3385089,0.27,Reliance Industries,235,282,CONG
IND,2022,1875,3385089,0.27,Infosys,141,169,TECH
IND,2022,1875,3385089,0.27,HDFC Bank,110,127,FIN
IND,2022,1875,3385089,0.27,Bharti Airtel,94,113,TELE
IND,2022,1875,3385089,0.27,Wipro,133,160,TECH
IND,2022,1875,3385089,0.27,HCL Technologies,118,142,TECH
IND,2022,1875,3385089,0.27,State Bank of India,86,103,FIN
IND,2022,1875,3385089,0.27,Mahindra & Mahindra,70,84,AUTO
IND,2022,1875,3385089,0.27,ICICI Bank,94,113,FIN
IND,2023,2344,3736878,0.31,Tata Consultancy,216,270,TECH
IND,2023,2344,3736878,0.31,Reliance Industries,294,353,CONG
IND,2023,2344,3736878,0.31,Infosys,176,211,TECH
IND,2023,2344,3736878,0.31,HDFC Bank,138,159,FIN
IND,2023,2344,3736878,0.31,Bharti Airtel,118,142,TELE
IND,2023,2344,3736878,0.31,Wipro,166,199,TECH
IND,2023,2344,3736878,0.31,HCL Technologies,148,178,TECH
IND,2023,2344,3736878,0.31,State Bank of India,108,130,FIN
IND,2023,2344,3736878,0.31,Mahindra & Mahindra,88,106,AUTO
IND,2023,2344,3736878,0.31,ICICI Bank,118,142,FIN
IND,2024,2930,4053675,0.35,Tata Consultancy,270,338,TECH
IND,2024,2930,4053675,0.35,Reliance Industries,368,442,CONG
IND,2024,2930,4053675,0.35,Infosys,220,264,TECH
IND,2024,2930,4053675,0.35,HDFC Bank,173,199,FIN
IND,2024,2930,4053675,0.35,Bharti Airtel,148,178,TELE
IND,2024,2930,4053675,0.35,Wipro,208,250,TECH
IND,2024,2930,4053675,0.35,HCL Technologies,185,222,TECH
IND,2024,2930,4053675,0.35,State Bank of India,135,162,FIN
IND,2024,2930,4053675,0.35,Mahindra & Mahindra,110,132,AUTO
IND,2024,2930,4053675,0.35,ICICI Bank,148,178,FIN
CAN,2020,1900,1645423,0.32,RBC,100,130,FIN
CAN,2020,1900,1645423,0.32,Shopify,170,221,TECH
CAN,2020,1900,1645423,0.32,TD Bank,80,96,FIN
CAN,2020,1900,1645423,0.32,Enbridge,60,69,ENER
CAN,2020,1900,1645423,0.32,Magna International,90,108,AUTO
CAN,2020,1900,1645423,0.32,BMO,75,90,FIN
CAN,2020,1900,1645423,0.32,CIBC,65,78,FIN
CAN,2020,1900,1645423,0.32,Suncor Energy,55,66,ENER
CAN,2020,1900,1645423,0.32,Bombardier,45,54,AERO
CAN,2020,1900,1645423,0.32,CGI Group,95,124,TECH
CAN,2021,2375,2015870,0.36,RBC,125,163,FIN
CAN,2021,2375,2015870,0.36,Shopify,213,277,TECH
CAN,2021,2375,2015870,0.36,TD Bank,100,120,FIN
CAN,2021,2375,2015870,0.36,Enbridge,75,86,ENER
CAN,2021,2375,2015870,0.36,Magna International,113,136,AUTO
CAN,2021,2375,2015870,0.36,BMO,94,113,FIN
CAN,2021,2375,2015870,0.36,CIBC,81,97,FIN
CAN,2021,2375,2015870,0.36,Suncor Energy,69,83,ENER
CAN,2021,2375,2015870,0.36,Bombardier,56,67,AERO
CAN,2021,2375,2015870,0.36,CGI Group,119,155,TECH
CAN,2022,2969,2139840,0.40,RBC,156,203,FIN
CAN,2022,2969,2139840,0.40,Shopify,266,346,TECH
CAN,2022,2969,2139840,0.40,TD Bank,125,150,FIN
CAN,2022,2969,2139840,0.40,Enbridge,94,108,ENER
CAN,2022,2969,2139840,0.40,Magna International,141,169,AUTO
CAN,2022,2969,2139840,0.40,BMO,118,142,FIN
CAN,2022,2969,2139840,0.40,CIBC,101,121,FIN
CAN,2022,2969,2139840,0.40,Suncor Energy,86,103,ENER
CAN,2022,2969,2139840,0.40,Bombardier,70,84,AERO
CAN,2022,2969,2139840,0.40,CGI Group,149,194,TECH
CAN,2023,3711,2321227,0.44,RBC,195,254,FIN
CAN,2023,3711,2321227,0.44,Shopify,333,433,TECH
CAN,2023,3711,2321227,0.44,TD Bank,156,187,FIN
CAN,2023,3711,2321227,0.44,Enbridge,118,136,ENER
CAN,2023,3711,2321227,0.44,Magna International,176,211,AUTO
CAN,2023,3711,2321227,0.44,BMO,148,178,FIN
CAN,2023,3711,2321227,0.44,CIBC,126,151,FIN
CAN,2023,3711,2321227,0.44,Suncor Energy,108,130,ENER
CAN,2023,3711,2321227,0.44,Bombardier,88,106,AERO
CAN,2023,3711,2321227,0.44,CGI Group,186,242,TECH
CAN,2024,4639,2437288,0.48,RBC,244,317,FIN
CAN,2024,4639,2437288,0.48,Shopify,416,541,TECH
CAN,2024,4639,2437288,0.48,TD Bank,195,234,FIN
CAN,2024,4639,2437288,0.48,Enbridge,148,170,ENER
CAN,2024,4639,2437288,0.48,Magna International,220,264,AUTO
CAN,2024,4639,2437288,0.48,BMO,185,222,FIN
CAN,2024,4639,2437288,0.48,CIBC,158,190,FIN
CAN,2024,4639,2437288,0.48,Suncor Energy,135,162,ENER
CAN,2024,4639,2437288,0.48,Bombardier,110,132,AERO
CAN,2024,4639,2437288,0.48,CGI Group,233,303,TECH
KOR,2020,2400,1638260,0.34,Samsung,530,716,TECH
KOR,2020,2400,1638260,0.34,LG Electronics,240,300,ELEC
KOR,2020,2400,1638260,0.34,SK Hynix,280,336,TECH
KOR,2020,2400,1638260,0.34,Hyundai,200,260,AUTO
KOR,2020,2400,1638260,0.34,POSCO,120,144,MFG
KOR,2020,2400,1638260,0.34,Kia Motors,150,180,AUTO
KOR,2020,2400,1638260,0.34,Samsung SDI,190,228,ELEC
KOR,2020,2400,1638260,0.34,SK Telecom,140,168,TELE
KOR,2020,2400,1638260,0.34,Naver,170,221,TECH
KOR,2020,2400,1638260,0.34,Shinhan Financial,100,120,FIN
KOR,2021,3000,1810956,0.38,Samsung,663,895,TECH
KOR,2021,3000,1810956,0.38,LG Electronics,300,375,ELEC
KOR,2021,3000,1810956,0.38,SK Hynix,350,420,TECH
KOR,2021,3000,1810956,0.38,Hyundai,250,325,AUTO
KOR,2021,3000,1810956,0.38,POSCO,150,180,MFG
KOR,2021,3000,1810956,0.38,Kia Motors,188,226,AUTO
KOR,2021,3000,1810956,0.38,Samsung SDI,238,286,ELEC
KOR,2021,3000,1810956,0.38,SK Telecom,175,210,TELE
KOR,2021,3000,1810956,0.38,Naver,213,277,TECH
KOR,2021,3000,1810956,0.38,Shinhan Financial,125,150,FIN
KOR,2022,3750,1665246,0.42,Samsung,829,1119,TECH
KOR,2022,3750,1665246,0.42,LG Electronics,375,469,ELEC
KOR,2022,3750,1665246,0.42,SK Hynix,438,526,TECH
KOR,2022,3750,1665246,0.42,Hyundai,313,407,AUTO
KOR,2022,3750,1665246,0.42,POSCO,188,226,MFG
KOR,2022,3750,1665246,0.42,Kia Motors,235,282,AUTO
KOR,2022,3750,1665246,0.42,Samsung SDI,297,356,ELEC
KOR,2022,3750,1665246,0.42,SK Telecom,219,263,TELE
KOR,2022,3750,1665246,0.42,Naver,266,346,TECH
KOR,2022,3750,1665246,0.42,Shinhan Financial,156,187,FIN
KOR,2023,4688,1709222,0.47,Samsung,1036,1399,TECH
